Gene Symbol,   Genes Names,Frequency,Chromosome ,Start,Stop,CodingLength,log2FoldChange,padj,DE
ABCB1,ATP binding cassette subfamily B member 1,6,chr7,87133179,87342639,4716,2.507,0.000240113,Up
ABCC6,ATP binding cassette subfamily C member 6,1,chr16,16243422,16317328,5579,2.499,8.37E-06,Up
ABO,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",18,chr9,136130563,136150630,1579,4.903,4.64E-08,Up
ACADS,acyl-CoA dehydrogenase short chain,1,chr12,121163571,121177811,1917,-2.409,1.69E-08,Down
ACP5,"acid phosphatase 5, tartrate resistant",9,chr19,11685475,11689801,1810,-4.223,1.11E-09,Down
ACR,acrosin,41,chr22,51176652,51183727,1370,3.887,0.000769247,Up
ADAM12,ADAM metallopeptidase domain 12,11,chr10,127702902,128077127,6981,2.527,0.000297505,Up
ADAM8,ADAM metallopeptidase domain 8,39,chr10,135075920,135090407,3301,-2.449,0.000758627,Down
ADAMTS1,ADAM metallopeptidase with thrombospondin type 1 motif 1,6,chr21,28208606,28217728,4651,2.818,1.62E-07,Up
ADAMTS13,ADAM metallopeptidase with thrombospondin type 1 motif 13,33,chr9,136279459,136324508,5240,2.051,2.27E-07,Up
ADAMTS9,ADAM metallopeptidase with thrombospondin type 1 motif 9,1,chr3,64501331,64673365,7312,2.287,0.000449697,Up
AGK,acylglycerol kinase,12,chr7,141251078,141354209,2925,2.052,4.26E-07,Up
AKR1B1,aldo-keto reductase family 1 member B,1,chr7,134127107,134143888,1398,-2.222,1.21E-06,Down
ALDOA,"aldolase, fructose-bisphosphate A",1,chr16,30064411,30081741,3223,-2.214,0.000198411,Down
ALOX5AP,arachidonate 5-lipoxygenase activating protein,1,chr13,31287615,31338565,1270,-2.216,0.00152587,Down
ANGPT1,angiopoietin 1,1,chr8,108261710,108510254,4338,3.609,3.23E-06,Up
ANTXR1,ANTXR cell adhesion molecule 1,2,chr2,69240276,69476459,7123,2.058,0.000557738,Up
ANXA2,annexin A2,21,chr15,60639350,60690185,1812,-2.576,1.60E-08,Down
ANXA3,annexin A3,1,chr4,79472742,79531605,1618,2.684,0.000236955,Up
APOE,apolipoprotein E,1,chr19,45409039,45412650,1180,-5.118,6.67E-10,Down
ARC,activity regulated cytoskeleton associated protein,1,chr8,143692410,143695833,2943,-2.654,1.21E-05,Down
ATG7,autophagy related 7,11,chr3,11314010,11599139,5051,-2.322,5.81E-08,Down
ATP7B,ATPase copper transporting beta,6,chr13,52506806,52585630,6641,4.552,1.90E-12,Up
ATP8B1,ATPase phospholipid transporting 8B1,7,chr18,55313659,55470327,5937,2.227,1.57E-06,Up
AXIN2,axin 2,2,chr17,63524683,63557740,4232,2.5,0.0004746,Up
BID,BH3 interacting domain death agonist,3,chr22,18216906,18257431,2660,-2.163,1.13E-08,Down
BMP4,bone morphogenetic protein 4,11,chr14,54416455,54423554,2073,2.184,0.000301514,Up
BOC,"BOC cell adhesion associated, oncogene regulated",10,chr3,112931375,113006305,4280,2.68,1.07E-06,Up
BTC,betacellulin,4,chr4,75671448,75719882,1323,5.93,4.16E-05,Up
C2,complement C2,21,chr6,31868776,31913449,2979,-3.294,3.89E-06,Down
C3,complement C3,124,chr19,6677846,6720662,5101,-3.693,8.12E-05,Down
C6,complement C6,1,chr5,41142336,41261540,3851,3.986,0.00036839,Up
C7,complement C7,6,chr5,40909599,40983042,4013,2.84,0.000409618,Up
CA3,carbonic anhydrase 3,2,chr8,86351056,86361267,1751,2.315,0.009019926,Up
CACNA1C,calcium voltage-gated channel subunit alpha1 C,1,chr12,2162416,2807115,14169,3.352,9.71E-10,Up
CAMP,cathelicidin antimicrobial peptide,1,chr3,48264837,48266981,745,-4.765,4.20E-07,Down
CAP2,cyclase associated actin cytoskeleton regulatory protein 2,1,chr6,17393736,17558023,3027,4.44,3.89E-05,Up
CARD10,caspase recruitment domain family member 10,5,chr22,37886400,37915210,3899,2.121,0.000585295,Up
CARD9,caspase recruitment domain family member 9,4,chr9,139258408,139268133,2123,-2.561,2.50E-06,Down
CCL13,C-C motif chemokine ligand 13,3,chr17,32683471,32685629,851,-3.048,4.37E-06,Down
CCL17,C-C motif chemokine ligand 17,17,chr16,57438679,57449974,615,-2.519,0.044053803,Down
CCL18,C-C motif chemokine ligand 18,131,chr17,34391643,34398841,770,-5.933,1.46E-12,Down
CCL19,C-C motif chemokine ligand 19,2,chr9,34689567,34691274,684,-3.024,0.006025261,Down
CCL2,C-C motif chemokine ligand 2,158,chr17,32582296,32584220,747,-3.058,1.70E-12,Down
CCL21,C-C motif chemokine ligand 21,9,chr9,34709002,34710147,878,-5.298,5.50E-06,Down
CCL3,C-C motif chemokine ligand 3,15,chr17,34415603,34417506,796,-3.421,1.29E-08,Down
CCL4,C-C motif chemokine ligand 4,30,chr17,34431220,34433014,667,-3.06,2.04E-06,Down
CCL5,C-C motif chemokine ligand 5,48,chr17,34198496,34207377,1229,-3.238,1.10E-07,Down
CCL7,C-C motif chemokine ligand 7,1,chr17,32597240,32599256,805,-5.936,1.83E-05,Down
CCL8,C-C motif chemokine ligand 8,9,chr17,32646066,32648421,1250,-2.958,1.20E-06,Down
CCR5,C-C motif chemokine receptor 5,47,chr3,46411633,46417697,3661,-2.684,3.73E-06,Down
CD14,CD14 molecule,256,chr5,140011313,140013286,1806,-4.008,3.93E-10,Down
CD163,CD163 molecule,130,chr12,7623412,7656414,4190,-2.901,0.000210762,Down
CD2,CD2 molecule,21,chr1,117297086,117311851,1531,-2.799,1.11E-05,Down
